Player,Team,Role,Matched_Player,Suggested_Match,Match_Type,Runs,Wkts,Batting_Points,Bowling_Points,Points,snapshot_time
Mukesh Choudhary,SKY11,BOWL,,mukul choudhary,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Gurjapneet Singh,SKY11,BOWL,,ramandeep singh,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Arjun Tendulkar,SKY11,BOWL,,krunal pandya,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Kwena Maphaka,SKY11,BOWL,,aiden markram,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Anrich Nortje,SKY11,BOWL,anrich nortje,,exact/alias,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Devdutt Padikkal,HARSH11,BAT,devdutt padikkal,,exact/alias,111,0,111,0,111,2026-04-10T18:01:28.621713+00:00
Ramkrishna Ghosh,HARSH11,BAT,,angkrish raghuvanshi,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Venkatesh Iyer,HARSH11,BAT,,shreyas iyer,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Shahrukh Khan,HARSH11,BAT,shahrukh khan,,exact/alias,15,0,15,0,15,2026-04-10T18:01:28.621713+00:00
ashutosh sharma,HARSH11,BAT,,ashok sharma,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Tilak Varma,HARSH11,BAT,tilak varma,,exact/alias,34,0,34,0,34,2026-04-10T18:01:28.621713+00:00
Shashank Singh,HARSH11,BAT,shashank singh,,exact/alias,18,0,18,0,18,2026-04-10T18:01:28.621713+00:00
Sameer Rizvi,HARSH11,BAT,sameer rizvi,,exact/alias,160,0,160,0,160,2026-04-10T18:01:28.621713+00:00
angkrish raghuvanshi,HARSH11,BAT,angkrish raghuvanshi,,exact/alias,155,0,155,0,155,2026-04-10T18:01:28.621713+00:00
Prashant Veer,HARSH11,BAT,prashant veer,,exact/alias,49,0,49,0,49,2026-04-10T18:01:28.621713+00:00
Washington Sundar,HARSH11,AR,washington sundar,,exact/alias,77,1,77,20,97,2026-04-10T18:01:28.621713+00:00
Axar Patel,HARSH11,AR,axar patel,,exact/alias,2,2,2,40,42,2026-04-10T18:01:28.621713+00:00
Azmatullah Omarzai,HARSH11,AR,,mitchell marsh,no_stats_yet,0,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Salil Arora,HARSH11,AR,salil arora,,exact/alias,9,0,9,0,9,2026-04-10T18:01:28.621713+00:00
Jasprit Bumrah,HARSH11,BOWL,jasprit bumrah,,exact/alias,5,0,0,0,0,2026-04-10T18:01:28.621713+00:00
Jaydev Unadkat,HARSH11,BOWL,jaydev unadkat,,exact/alias,4,4,0,80,80,2026-04-10T18:01:28.621713+00:00
mohammed shami,HARSH11,BOWL,mohammed shami,,exact/alias,2,3,0,60,60,2026-04-10T18:01:28.621713+00:00
